Bolagsnamn;Land;Lista;Sektor;Bransch;Ticker
Modern Ekonomi;Sverige;First North;Industri;Affärskonsulter;ME
Misen Energy;Sverige;First North;Energi;Olja & Gas - Exploatering;MISE
NetJobs;Sverige;First North;Industri;Bemanning;NJOB
New Nordic Healthbrands;Sverige;First North;Dagligvaror;Hälsoprodukter;NNH
Nischer;Sverige;NGM;Finans & Fastighet;Fastighetsbolag;NIS MTF
Online Brands Nordic;Sverige;First North;Sällanköpsvaror;Accessoarer;OBAB
OPUS Prodox;Sverige;Mid Cap;Sällanköpsvaror;Bil & Motor;OPUS
Pallas;Sverige;First North;Industri;Sjöfart & Rederi;PALS B
Sensori;Sverige;NGM;Hälsovård;Medicinsk Utrustning;SORI MTF
Saxlund;Sverige;First North;Industri;Energi & Återvinning;SAXG
PledPharma;Sverige;First North;Hälsovård;Biotech;PLED
Precio Fishbone;Sverige;First North;Informationsteknik;IT-Konsulter;PRCO B
Precomp Solutions;Sverige;First North;Industri;Industrikomponenter;PCOM B
ENLABS;Sverige;First North;Sällanköpsvaror;Betting & Casino;NLAB
ScandBook;Sverige;First North;Sällanköpsvaror;Media & Publicering;SBOK
ShaMaran;Sverige;First North;Energi;Olja & Gas - Exploatering;SNM
SJR;Sverige;First North;Industri;Bemanning;SJR B
Skåne-möllan;Sverige;First North;Dagligvaror;Livsmedel;SKMO
Skånska Energi;Sverige;First North;Kraftförsörjning;Elförsörjning;SEAB B
Allgon;Sverige;First North;Informationsteknik;Kommunikation;ALLG B
Stille;Sverige;First North;Hälsovård;Medicinsk Utrustning;STIL
TagMaster;Sverige;First North;Informationsteknik;Kommunikation;TAGM B
Tethys Oil;Sverige;Mid Cap;Energi;Olja & Gas - Exploatering;TETY
Unlimited Travel Group;Sverige;First North;Sällanköpsvaror;Resor & Nöjen;UTG
Victoria Park A;Sverige;Mid Cap;Finans & Fastighet;Fastighetsbolag;VICP A
Nordic Flanges;Sverige;First North;Industri;Industrikomponenter;NFGAB
WeSC;Sverige;First North;Sällanköpsvaror;Kläder & Skor;WESC
Westpay;Sverige;First North;Industri;Säkerhet;WPAY
Wise Group;Sverige;Small Cap;Industri;Bemanning;WISE
ZetaDisplay;Sverige;Small Cap;Sällanköpsvaror;Marknadsföring;ZETA
ALM Equtiy;Sverige;First North;Finans & Fastighet;Fastighetsbolag;ALM
Mangold;Sverige;First North;Finans & Fastighet;Kapitalförvaltning;MANG
Platzer;Sverige;Mid Cap;Finans & Fastighet;Fastighetsbolag;PLAZ B
aXichem;Sverige;First North;Material;Kemikalier;AXIC A
Sportamore;Sverige;Small Cap;Sällanköpsvaror;Detaljhandel;SPOR
Nexam;Sverige;First North;Material;Kemikalier;NEXAM
Xvivo Perfusion;Sverige;Mid Cap;Hälsovård;Medicinsk Utrustning;XVIVO
Hemfosa;Sverige;Large Cap;Finans & Fastighet;Fastighetsbolag;HEMF
Bufab;Sverige;Mid Cap;Industri;Industrikomponenter;BUFAB
Bactiguard;Sverige;Small Cap;Hälsovård;Medicinsk Utrustning;BACTI B
NGEx Resources;Sverige;Mid Cap;Material;Gruv - Prospekt & Drift;NGQ
Recipharm;Sverige;Mid Cap;Hälsovård;Läkemedel;RECI B
Scandi Standard;Sverige;Mid Cap;Dagligvaror;Livsmedel;SCST
Arctic Paper;Sverige;Small Cap;Material;Skogsbolag;ARP
Besqab;Sverige;Mid Cap;Industri;Bostadsbyggnation;BESQ
G5 Entertainment;Sverige;Mid Cap;Sällanköpsvaror;Gaming & Spel;G5EN
NeuroVive Pharmaceutical;Sverige;Small Cap;Hälsovård;Biotech;NVP
Oscar Properties;Sverige;Mid Cap;Finans & Fastighet;Fastighetsbolag;OP
Starbreeze B;Sverige;Mid Cap;Sällanköpsvaror;Gaming & Spel;STAR B
Cell Impact;Sverige;First North;Industri;Industrimaskiner;CI B
BIMobject;Sverige;First North;Informationsteknik;Affärs- & IT-System;BIM
Delarka;Sverige;First North;Finans & Fastighet;Fastighetsbolag;DELARK
Immunicum;Sverige;Small Cap;Hälsovård;Biotech;IMMU
Polyplank;Sverige;First North;Industri;Energi & Återvinning;POLY
Fastator;Sverige;First North;Finans & Fastighet;Fastighetsbolag;ABFAST
Ages Industri;Sverige;First North;Industri;Industrikomponenter;AGES B
Brighter;Sverige;First North;Hälsovård;Medicinsk Utrustning;BRIG
Clavister;Sverige;First North;Informationsteknik;Kommunikation;CLAV
