Dates;Destination;Group;Period;Price;Regio;Status;min_price
['17.02.2020', '04.03.2020'];Kuala Lumpur;fernreisen;2020-02;388,00 €;Asia;19.10.2019;387,00 €
['10.02.2020', '08.03.2020'];Kuala Lumpur;fernreisen;2020-02;388,00 €;Asia;04.10.2019;387,00 €
['06.03.2020', '22.03.2020'];Kuala Lumpur;fernreisen;2020-03;388,00 €;Asia;05.10.2019;387,00 €
['06.03.2020', '29.03.2020'];Kuala Lumpur;fernreisen;2020-03;388,00 €;Asia;06.10.2019;387,00 €
['22.04.2020', '29.04.2020'];Kuala Lumpur;fernreisen;2020-04;387,00 €;Asia;07.10.2019;387,00 €
['06.03.2020', '29.03.2020'];Kuala Lumpur;fernreisen;2020-03;388,00 €;Asia;09.10.2019;387,00 €
['02.12.2019', '15.12.2019'];Kuala Lumpur;fernreisen;2019-12;389,00 €;Asia;18.10.2019;387,00 €
['17.02.2020', '04.03.2020'];Kuala Lumpur;fernreisen;2020-02;388,00 €;Asia;19.10.2019;387,00 €
['17.02.2020', '04.03.2020'];Kuala Lumpur;fernreisen;2020-02;388 €;Asia;2019-10-20;387,00 €
['09.12.2019', '30.12.2019'];Kuala Lumpur;fernreisen;2019-12;389 €;Asia;2019-10-22;387,00 €
['10.02.2020', '08.03.2020'];Kuala Lumpur;fernreisen;2020-02;388 €;Asia;2019-10-26;387,00 €
['02.03.2020', '22.03.2020'];Kuala Lumpur;fernreisen;2020-03;388 €;Asia;2019-10-26;387,00 €
['15.10.2019', '10.11.2019'];Luzon Clark;last-minute;2019-10;616,00 €;Asia;04.10.2019;615,00 €
['15.10.2019', '10.11.2019'];Luzon Clark;last-minute;2019-10;616,00 €;Asia;05.10.2019;615,00 €
['15.10.2019', '10.11.2019'];Luzon Clark;last-minute;2019-10;615,00 €;Asia;06.10.2019;615,00 €
['15.10.2019', '10.11.2019'];Luzon Clark;last-minute;2019-10;615,00 €;Asia;07.10.2019;615,00 €
['15.10.2019', '10.11.2019'];Luzon Clark;last-minute;2019-10;616,00 €;Asia;04.10.2019;615,00 €
['15.10.2019', '10.11.2019'];Luzon Clark;last-minute;2019-10;616,00 €;Asia;05.10.2019;615,00 €
['15.10.2019', '10.11.2019'];Luzon Clark;last-minute;2019-10;615,00 €;Asia;06.10.2019;615,00 €
['15.10.2019', '10.11.2019'];Luzon Clark;last-minute;2019-10;615,00 €;Asia;07.10.2019;615,00 €
['21.04.2020', '05.05.2020'];Manila;fernreisen;2020-04;377,00 €;Asia;04.10.2019;370,00 €
['24.02.2020', '08.03.2020'];Manila;fernreisen;2020-02;377,00 €;Asia;05.10.2019;370,00 €
['05.08.2020', '27.08.2020'];Manila;sommerferien;2020-08;501,00 €;Asia;05.10.2019;370,00 €
['04.02.2020', '18.02.2020'];Manila;fernreisen;2020-02;377,00 €;Asia;06.10.2019;370,00 €
['05.08.2020', '27.08.2020'];Manila;sommerferien;2020-08;501,00 €;Asia;06.10.2019;370,00 €
['03.12.2019', '17.12.2019'];Manila;fernreisen;2019-12;377,00 €;Asia;07.10.2019;370,00 €
['05.08.2020', '27.08.2020'];Manila;sommerferien;2020-08;501,00 €;Asia;07.10.2019;370,00 €
['11.03.2020', '31.03.2020'];Manila;fernreisen;2020-03;377,00 €;Asia;09.10.2019;370,00 €
['05.08.2020', '27.08.2020'];Manila;sommerferien;2020-08;501,00 €;Asia;09.10.2019;370,00 €
['05.08.2020', '27.08.2020'];Manila;sommerferien;2020-08;501,00 €;Asia;18.10.2019;370,00 €
['14.02.2020', '08.03.2020'];Manila;fernreisen;2020-02;378,00 €;Asia;18.10.2019;370,00 €
['10.08.2020', '17.08.2020'];Manila;sommerferien;2020-08;493,00 €;Asia;19.10.2019;370,00 €
['16.05.2020', '31.05.2020'];Manila;fernreisen;2020-05;370,00 €;Asia;19.10.2019;370,00 €
['21.04.2020', '05.05.2020'];Manila;fernreisen;2020-04;377,00 €;Asia;04.10.2019;370,00 €
['24.02.2020', '08.03.2020'];Manila;fernreisen;2020-02;377,00 €;Asia;05.10.2019;370,00 €
['05.08.2020', '27.08.2020'];Manila;sommerferien;2020-08;501,00 €;Asia;05.10.2019;370,00 €
['04.02.2020', '18.02.2020'];Manila;fernreisen;2020-02;377,00 €;Asia;06.10.2019;370,00 €
['05.08.2020', '27.08.2020'];Manila;sommerferien;2020-08;501,00 €;Asia;06.10.2019;370,00 €
['03.12.2019', '17.12.2019'];Manila;fernreisen;2019-12;377,00 €;Asia;07.10.2019;370,00 €
['05.08.2020', '27.08.2020'];Manila;sommerferien;2020-08;501,00 €;Asia;07.10.2019;370,00 €
['11.03.2020', '31.03.2020'];Manila;fernreisen;2020-03;377,00 €;Asia;09.10.2019;370,00 €
['05.08.2020', '27.08.2020'];Manila;sommerferien;2020-08;501,00 €;Asia;09.10.2019;370,00 €
['05.08.2020', '27.08.2020'];Manila;sommerferien;2020-08;501,00 €;Asia;18.10.2019;370,00 €
['14.02.2020', '08.03.2020'];Manila;fernreisen;2020-02;378,00 €;Asia;18.10.2019;370,00 €
['10.08.2020', '17.08.2020'];Manila;sommerferien;2020-08;493,00 €;Asia;19.10.2019;370,00 €
['16.05.2020', '31.05.2020'];Manila;fernreisen;2020-05;370,00 €;Asia;19.10.2019;370,00 €
['12.08.2020', '24.08.2020'];Manila;sommerferien;2020-08;486 €;Asia;2019-10-20;370,00 €
['27.04.2020', '18.05.2020'];Manila;fernreisen;2020-04;378 €;Asia;2019-10-20;370,00 €
['16.04.2020', '13.05.2020'];Manila;fernreisen;2020-04;379 €;Asia;2019-10-22;370,00 €
['16.05.2020', '31.05.2020'];Manila;fernreisen;2020-05;378 €;Asia;2019-10-26;370,00 €
['29.02.2020', '29.03.2020'];Manila;fernreisen;2020-02;378 €;Asia;2019-10-26;370,00 €
