Destination;Dates;Price;Group;Period;Status;Regio;min_price
Dallas;['27.11.2019', '11.12.2019'];326,00 €;fernreisen;2019-11;07.10.2019;USA;324,00 €
Dallas;['03.03.2020', '24.03.2020'];326,00 €;fernreisen;2020-03;09.10.2019;USA;324,00 €
Dallas;['19.05.2020', '03.06.2020'];351,00 €;warme-reiseziele;2020-05;09.10.2019;USA;324,00 €
Denver;['11.02.2020', '19.02.2020'];340,00 €;fernreisen;2020-02;04.10.2019;USA;340,00 €
Denver;['11.02.2020', '19.02.2020'];340,00 €;fernreisen;2020-02;05.10.2019;USA;340,00 €
Denver;['11.02.2020', '19.02.2020'];340,00 €;fernreisen;2020-02;06.10.2019;USA;340,00 €
Denver;['11.02.2020', '19.02.2020'];340,00 €;fernreisen;2020-02;07.10.2019;USA;340,00 €
Denver;['11.02.2020', '19.02.2020'];340,00 €;fernreisen;2020-02;09.10.2019;USA;340,00 €
Djerba;['11.10.2019', '16.10.2019'];221,00 €;warme-reiseziele;2019-10;07.10.2019;MENA;221,00 €
Djerba;['11.10.2019', '16.10.2019'];221,00 €;last-minute;2019-10;07.10.2019;MENA;221,00 €
Doha;['15.10.2019', '22.10.2019'];339,00 €;last-minute;2019-10;04.10.2019;MENA;312,00 €
Doha;['15.10.2019', '22.10.2019'];312,00 €;warme-reiseziele;2019-10;05.10.2019;MENA;312,00 €
Doha;['15.10.2019', '22.10.2019'];312,00 €;last-minute;2019-10;05.10.2019;MENA;312,00 €
Doha;['15.10.2019', '22.10.2019'];313,00 €;warme-reiseziele;2019-10;06.10.2019;MENA;312,00 €
Doha;['15.10.2019', '22.10.2019'];313,00 €;last-minute;2019-10;06.10.2019;MENA;312,00 €
Edinburgh;['22.10.2019', '26.10.2019'];30,00 €;staedtereisen;2019-10;04.10.2019;Europe;30,00 €
Edinburgh;['22.10.2019', '26.10.2019'];30,00 €;kurzurlaub;2019-10;04.10.2019;Europe;30,00 €
Edinburgh;['02.06.2020', '11.06.2020'];78,00 €;staedtereisen;2020-06;09.10.2019;Europe;30,00 €
Ercan;['19.05.2020', '27.05.2020'];153,00 €;warme-reiseziele;2020-05;04.10.2019;MENA;153,00 €
Ercan;['19.05.2020', '27.05.2020'];153,00 €;warme-reiseziele;2020-05;05.10.2019;MENA;153,00 €
Ercan;['19.05.2020', '27.05.2020'];153,00 €;warme-reiseziele;2020-05;06.10.2019;MENA;153,00 €
Ercan;['19.05.2020', '27.05.2020'];153,00 €;warme-reiseziele;2020-05;07.10.2019;MENA;153,00 €
Ercan;['19.05.2020', '27.05.2020'];153,00 €;warme-reiseziele;2020-05;09.10.2019;MENA;153,00 €
Eriwan;['13.07.2020', '23.07.2020'];250,00 €;warme-reiseziele;2020-07;04.10.2019;Europe;249,00 €
Eriwan;['13.07.2020', '23.07.2020'];249,00 €;warme-reiseziele;2020-07;05.10.2019;Europe;249,00 €
Eriwan;['13.07.2020', '23.07.2020'];249,00 €;warme-reiseziele;2020-07;06.10.2019;Europe;249,00 €
