Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2013-06-17,0.0,1617.75,0.0,,,1614.5,0.0,30.0
2013-06-14,0.0,0.0,1604.25,,,1599.25,0.0,30.0
2013-06-13,1574.5,1602.5,1574.5,,,1611.75,1.0,30.0
2013-06-12,0.0,1607.0,1593.25,,,1585.0,0.0,30.0
2013-06-11,1603.0,1603.0,1598.5,,,1602.25,5.0,30.0
2013-06-10,0.0,1615.0,0.0,,,1617.25,0.0,30.0
2013-06-07,1606.25,1606.25,1606.25,,,1613.5,1.0,31.0
2013-06-06,1582.5,1593.0,1574.0,,,1597.5,3.0,28.0
2013-06-05,1596.0,1596.0,1583.25,,,1583.0,3.0,25.0
2013-06-04,0.0,1614.75,1603.5,,,1606.25,0.0,25.0
2013-06-03,0.0,1610.25,1602.75,,,1611.25,0.0,25.0
2013-05-31,1634.0,1634.0,1608.0,,,1604.25,16.0,9.0
2013-05-30,0.0,1629.5,0.0,,,1628.75,0.0,9.0
2013-05-29,1615.0,1615.0,1615.0,,,1622.0,1.0,8.0
2013-05-28,1649.25,1649.25,1649.25,,,1629.75,1.0,7.0
2013-05-24,0.0,0.0,1615.0,,,1625.75,0.0,7.0
2013-05-23,1616.5,1628.0,1616.5,,,1625.25,3.0,6.0
2013-05-22,1627.5,1642.5,1627.5,,,1630.75,1.0,5.0
2013-05-21,0.0,0.0,0.0,,,1640.75,0.0,5.0
2013-05-20,0.0,0.0,0.0,,,1639.75,0.0,5.0
2013-05-17,0.0,1632.5,0.0,,,1638.0,0.0,5.0
2013-05-16,1622.5,1622.5,1622.5,,,1623.25,1.0,5.0
2013-05-15,1630.0,1630.25,1630.0,,,1629.25,2.0,7.0
2013-05-14,0.0,1616.75,0.0,,,1622.75,0.0,7.0
2013-05-13,1605.0,1605.0,1602.75,,,1605.25,1.0,7.0
2013-05-10,1603.5,1603.5,1597.5,,,1604.25,6.0,7.0
2013-05-09,1600.25,1604.5,1595.0,,,1599.25,7.0,2.0
2013-05-08,0.0,1598.5,0.0,,,1603.25,0.0,2.0
2013-05-07,0.0,1595.5,0.0,,,1595.0,0.0,2.0
2013-05-06,0.0,1583.25,0.0,,,1587.75,0.0,2.0
2013-05-03,0.0,1582.0,0.0,,,1583.0,0.0,2.0
2013-05-02,1571.25,1571.25,1571.25,,,1566.75,1.0,1.0
2013-05-01,0.0,0.0,1556.5,,,1551.5,0.0,1.0
2013-04-30,0.0,0.0,1561.5,,,1566.5,0.0,1.0
2013-04-29,0.0,1560.5,0.0,,,1562.5,0.0,1.0
2013-04-26,0.0,0.0,1553.0,,,1550.75,0.0,1.0
2013-04-25,0.0,1556.25,0.0,,,1556.0,0.0,1.0
2013-04-24,0.0,0.0,0.0,,,1548.5,0.0,1.0
2013-04-23,0.0,1544.25,1529.25,,,1548.0,0.0,1.0
2013-04-22,0.0,1528.75,0.0,,,1530.0,0.0,1.0
2013-04-19,1518.0,1518.0,1518.0,,,1521.75,1.0,0.0
2013-04-18,0.0,0.0,0.0,,,1508.25,0.0,0.0
2013-04-17,0.0,0.0,1542.5,,,1520.25,0.0,0.0
2013-04-16,0.0,1527.75,0.0,,,1542.75,0.0,11.0
2013-04-15,1541.0,1541.0,1521.0,,,1517.5,11.0,11.0
2013-04-12,1562.0,1562.0,1555.75,,,1556.0,11.0,0.0
2013-04-11,0.0,1560.75,0.0,,,1562.0,0.0,0.0
2013-04-10,0.0,1551.25,0.0,,,1557.0,0.0,0.0
2013-04-09,0.0,1536.75,0.0,,,1537.25,0.0,0.0
2013-04-08,0.0,1529.75,0.0,,,1533.25,0.0,0.0
2013-04-05,0.0,0.0,1514.5,,,1520.0,0.0,0.0
2013-04-04,1517.75,1528.5,1517.75,,,1528.5,4.0,0.0
2013-04-03,0.0,0.0,1525.0,,,1522.5,0.0,0.0
2013-04-02,0.0,1535.5,0.0,,,1538.5,0.0,0.0
2013-04-01,0.0,0.0,1533.5,,,1530.0,0.0,0.0
2013-03-28,1533.0,1533.0,1533.0,,,1537.0,1.0,1.0
2013-03-27,1525.0,1525.0,1525.0,,,1531.0,1.0,0.0
2013-03-26,0.0,0.0,0.0,,,1531.5,0.0,0.0
2013-03-25,0.0,0.0,0.0,,,1521.25,0.0,0.0
2013-03-22,0.0,0.0,0.0,,,1526.25,0.0,0.0
2013-03-21,0.0,0.0,0.0,,,1513.25,0.0,0.0
2013-03-20,0.0,0.0,0.0,,,1523.25,0.0,0.0
2013-03-19,0.0,0.0,1512.25,,,1516.25,0.0,0.0
2013-03-18,0.0,0.0,1509.25,,,1520.5,0.0,0.0
2013-03-15,0.0,0.0,0.0,,,1527.25,0.0,0.0
