,description,displaySymbol,symbol,source,Group,Asset
747,PEPPERSTONE Gold vs Great Britain Pound XAUGBP,XAU/GBP,PEPPERSTONE:10057,pepperstone,Metal,
748,Gold/HKD,XAU/HKD,OANDA:XAU_HKD,oanda,Metal,
749,Gold/JPY,XAU/JPY,OANDA:XAU_JPY,oanda,Metal,
750,Gold/NZD,XAU/NZD,OANDA:XAU_NZD,oanda,Metal,
751,Gold/SGD,XAU/SGD,OANDA:XAU_SGD,oanda,Metal,
752,Gold,XAU/USD,OANDA:XAU_USD,oanda,Metal,XAU/USD
753,FXCM XAU/USD,XAU/USD,FXCM:XAU/USD,fxcm,Metal,XAU/USD
754,Forex.com XAU/USD,XAU/USD,FOREX:401153870,forex.com,Metal,XAU/USD
755,FXPIG Gold vs US Dollar XAUUSD.spa,XAU/USD,FXPIG:41,fxpig,Metal,XAU/USD
756,PEPPERSTONE Gold vs US Dollar XAUUSD,XAU/USD,PEPPERSTONE:41,pepperstone,Metal,XAU/USD
757,ICMTRADER Gold vs US Dollar XAUUSD,XAU/USD,ICMTRADER:41,icmtrader,Metal,XAU/USD
758,IC MARKETS Gold vs US Dollar XAUUSD,XAU/USD,IC MARKETS:41,ic markets,Metal,XAU/USD
759,OCTAFX Gold vs US Dollar XAUUSD,XAU/USD,OCTAFX:41,octafx,Metal,XAU/USD
760,Gold/Silver,XAU/XAG,OANDA:XAU_XAG,oanda,Metal,
761,FXPIG Gold vs. US Dollar XAUUSD.mpa,XAU150/USD,FXPIG:150,fxpig,Metal,
