,description,displaySymbol,symbol,source,Exch_name
134,SINO-OCEAN GP (3SD.SG),3SD.SG,3SD.SG,SG,BOERSE STUTTGART
135,SONY FIN HLDGS (3SY.SG),3SY.SG,3SY.SG,SG,BOERSE STUTTGART
136,VISA-A (3V64.SG),3V64.SG,3V64.SG,SG,BOERSE STUTTGART
137,GOTTEX FND MAN HLD (3VD.SG),3VD.SG,3VD.SG,SG,BOERSE STUTTGART
138,EXCELSIOR MNG (3XS.SG),3XS.SG,3XS.SG,SG,BOERSE STUTTGART
139,AIML Resources Inc,42F.SG,42F.SG,SG,BOERSE STUTTGART
140,WEIR GROUP (42W.SG),42W.SG,42W.SG,SG,BOERSE STUTTGART
141,HARUM ENERGY (44H.SG),44H.SG,44H.SG,SG,BOERSE STUTTGART
142,TERNA ENERGY (44T.SG),44T.SG,44T.SG,SG,BOERSE STUTTGART
143,ALCHEMY RES (45A.SG),45A.SG,45A.SG,SG,BOERSE STUTTGART
144,PLAYMATES TOYS (45P.SG),45P.SG,45P.SG,SG,BOERSE STUTTGART
145,SOHO CHINA (45S.SG),45S.SG,45S.SG,SG,BOERSE STUTTGART
146,PARAGON GROUP (46P1.SG),46P1.SG,46P1.SG,SG,BOERSE STUTTGART
147,CAIXABANK (48CA.SG),48CA.SG,48CA.SG,SG,BOERSE STUTTGART
148,INDOFOOD CBP (48I.SG),48I.SG,48I.SG,SG,BOERSE STUTTGART
149,Arkle Resources PLC,48O.SG,48O.SG,SG,BOERSE STUTTGART
150,ANGLESEY MIN (4A0.SG),4A0.SG,4A0.SG,SG,BOERSE STUTTGART
151,FAGRON (4A5.SG),4A5.SG,4A5.SG,SG,BOERSE STUTTGART
152,ACE HARDWARE (4AH1.SG),4AH1.SG,4AH1.SG,SG,BOERSE STUTTGART
153,CN ALUMINUM INT -H- (4AI.SG),4AI.SG,4AI.SG,SG,BOERSE STUTTGART
154,BIG LOTS (4B3.SG),4B3.SG,4B3.SG,SG,BOERSE STUTTGART
155,BAUXITE RES (4B4.SG),4B4.SG,4B4.SG,SG,BOERSE STUTTGART
156,Hunter Group ASA,4BD.SG,4BD.SG,SG,BOERSE STUTTGART
157,BCA POP. EMILIA R. (4BE.SG),4BE.SG,4BE.SG,SG,BOERSE STUTTGART
158,BUREAU VERITAS (4BV.SG),4BV.SG,4BV.SG,SG,BOERSE STUTTGART
159,BYD ELECTRONIC (4BY.SG),4BY.SG,4BY.SG,SG,BOERSE STUTTGART
160,HUTCHISON TELE HK (4C6.SG),4C6.SG,4C6.SG,SG,BOERSE STUTTGART
161,ELECTROVAYA (4EV.SG),4EV.SG,4EV.SG,SG,BOERSE STUTTGART
162,CN RAILWAY CONS -H- (4FF.SG),4FF.SG,4FF.SG,SG,BOERSE STUTTGART
163,GRUPO FIN BANORTE-O (4FN.SG),4FN.SG,4FN.SG,SG,BOERSE STUTTGART
164,ALSEA (4FU.SG),4FU.SG,4FU.SG,SG,BOERSE STUTTGART
165,GRUPO FINANC-O (4FY.SG),4FY.SG,4FY.SG,SG,BOERSE STUTTGART
166,MEXICHEM (4FZ.SG),4FZ.SG,4FZ.SG,SG,BOERSE STUTTGART
167,GOLDEN AGRI-RESOURC (4G3A.SG),4G3A.SG,4G3A.SG,SG,BOERSE STUTTGART
168,GMEXICO-B (4GE.SG),4GE.SG,4GE.SG,SG,BOERSE STUTTGART
169,GRUPO CARSO-A1 (4GF.SG),4GF.SG,4GF.SG,SG,BOERSE STUTTGART
170,CONSORCIO ARA (4GJ.SG),4GJ.SG,4GJ.SG,SG,BOERSE STUTTGART
171,GRUPO BIMBO-A (4GM.SG),4GM.SG,4GM.SG,SG,BOERSE STUTTGART
172,HEINEKEN HOLDING (4H5.SG),4H5.SG,4H5.SG,SG,BOERSE STUTTGART
173,VILMORIN ET CIE (4HL.SG),4HL.SG,4HL.SG,SG,BOERSE STUTTGART
174,VICAT (4HM.SG),4HM.SG,4HM.SG,SG,BOERSE STUTTGART
175,WANT WANT CHINA (4HQ.SG),4HQ.SG,4HQ.SG,SG,BOERSE STUTTGART
176,MOLMED (4HW.SG),4HW.SG,4HW.SG,SG,BOERSE STUTTGART
177,PHILIP MRRS INT (4I1.SG),4I1.SG,4I1.SG,SG,BOERSE STUTTGART
178,NU-OIL AND GAS (4LK.SG),4LK.SG,4LK.SG,SG,BOERSE STUTTGART
179,TELADOC INC,4LL.SG,4LL.SG,SG,BOERSE STUTTGART
180,Macquarie Group Limited (4M4.SG,4M4.SG,4M4.SG,SG,BOERSE STUTTGART
181,MAGELLAN AEROSPACE (4M7A.SG),4M7A.SG,4M7A.SG,SG,BOERSE STUTTGART
182,NEOPHOTONICS (4NO.SG),4NO.SG,4NO.SG,SG,BOERSE STUTTGART
183,ORASCOM DEVL HLDG N (4O7.SG),4O7.SG,4O7.SG,SG,BOERSE STUTTGART
184,AGNC INVESTMENT,4OQ1.SG,4OQ1.SG,SG,BOERSE STUTTGART
185,PURECIRCLE (4PC.SG),4PC.SG,4PC.SG,SG,BOERSE STUTTGART
186,PT Central Proteina Prima Tbk,4PT.SG,4PT.SG,SG,BOERSE STUTTGART
187,CODEXIS (4QK.SG),4QK.SG,4QK.SG,SG,BOERSE STUTTGART
188,ETRION (4QP.SG),4QP.SG,4QP.SG,SG,BOERSE STUTTGART
189,RENAISSANCE GOLD (4RG.SG),4RG.SG,4RG.SG,SG,BOERSE STUTTGART
190,SERVICENOW (4S0.SG),4S0.SG,4S0.SG,SG,BOERSE STUTTGART
191,SINOTRUK HONG KONG (4SK.SG),4SK.SG,4SK.SG,SG,BOERSE STUTTGART
192,SILVER LAKE RES (4SL.SG),4SL.SG,4SL.SG,SG,BOERSE STUTTGART
193,SEVAN MARINE (4SM.SG),4SM.SG,4SM.SG,SG,BOERSE STUTTGART
194,TREVALI MINING (4TI.SG),4TI.SG,4TI.SG,SG,BOERSE STUTTGART
195,VGP (4V1.SG),4V1.SG,4V1.SG,SG,BOERSE STUTTGART
196,GENEL ENERGY (4VL.SG),4VL.SG,4VL.SG,SG,BOERSE STUTTGART
